userID,ISBN,bookRating
276725,034545104X,0
2313,034545104X,5
6543,034545104X,0
8680,034545104X,5
10314,034545104X,9
23768,034545104X,0
28266,034545104X,0
28523,034545104X,0
39002,034545104X,0
50403,034545104X,9
56157,034545104X,0
59102,034545104X,0
59287,034545104X,0
63970,034545104X,8
77480,034545104X,8
77940,034545104X,0
81977,034545104X,0
94362,034545104X,5
98391,034545104X,9
112199,034545104X,6
115435,034545104X,5
123981,034545104X,0
128045,034545104X,7
128276,034545104X,5
129311,034545104X,7
132081,034545104X,0
133235,034545104X,0
135045,034545104X,0
138543,034545104X,0
144315,034545104X,0
144486,034545104X,0
145451,034545104X,0
147799,034545104X,0
158506,034545104X,0
163202,034545104X,0
168816,034545104X,0
171912,034545104X,5
173743,034545104X,0
174834,034545104X,0
188513,034545104X,4
195374,034545104X,0
208019,034545104X,0
208406,034545104X,6
210597,034545104X,9
214011,034545104X,10
220502,034545104X,3
227106,034545104X,0
227447,034545104X,0
227520,034545104X,0
227886,034545104X,3
240144,034545104X,3
243142,034545104X,9
244420,034545104X,8
255502,034545104X,6
257492,034545104X,5
260897,034545104X,3
263003,034545104X,7
268191,034545104X,0
271448,034545104X,0
274925,034545104X,7
276733,2080674722,0
192101,2080674722,7
201170,2080674722,4
276744,038550120X,7
278418,038550120X,0
6251,038550120X,0
8234,038550120X,0
8250,038550120X,0
11224,038550120X,0
11676,038550120X,10
13273,038550120X,0
13552,038550120X,0
16106,038550120X,0
16718,038550120X,0
16877,038550120X,9
17950,038550120X,0
17975,038550120X,6
20806,038550120X,6
21014,038550120X,0
21340,038550120X,9
21356,038550120X,7
21659,038550120X,0
22625,038550120X,10
23243,038550120X,7
23768,038550120X,0
29168,038550120X,7
31315,038550120X,6
31362,038550120X,0
32188,038550120X,8
33580,038550120X,0
33974,038550120X,8
34523,038550120X,0
34531,038550120X,0
34588,038550120X,5
35288,038550120X,9
37712,038550120X,0
37800,038550120X,9
39441,038550120X,0
39646,038550120X,0
39773,038550120X,0
40889,038550120X,0
41841,038550120X,0
43842,038550120X,0
44963,038550120X,0
49683,038550120X,0
53174,038550120X,0
53220,038550120X,8
53614,038550120X,8
55441,038550120X,0
60337,038550120X,8
62862,038550120X,0
64436,038550120X,9
73298,038550120X,0
75819,038550120X,8
76151,038550120X,10
76351,038550120X,10
76851,038550120X,8
78236,038550120X,0
83287,038550120X,0
83941,038550120X,0
87746,038550120X,0
91832,038550120X,0
92184,038550120X,0
94279,038550120X,0
96054,038550120X,0
97919,038550120X,6
98168,038550120X,7
98741,038550120X,0
100471,038550120X,6
100846,038550120X,8
101226,038550120X,10
104051,038550120X,8
105979,038550120X,0
109013,038550120X,0
109180,038550120X,10
111174,038550120X,6
111358,038550120X,7
112914,038550120X,0
113425,038550120X,6
113519,038550120X,0
114368,038550120X,9
114847,038550120X,0
115003,038550120X,8
115375,038550120X,8
115435,038550120X,8
116904,038550120X,10
121241,038550120X,0
123645,038550120X,8
124983,038550120X,0
125519,038550120X,9
130571,038550120X,8
134797,038550120X,0
135265,038550120X,0
135741,038550120X,5
136439,038550120X,5
136509,038550120X,0
140340,038550120X,0
140358,038550120X,5
141719,038550120X,7
145641,038550120X,7
147224,038550120X,5
147847,038550120X,0
148258,038550120X,0
149069,038550120X,10
149231,038550120X,0
149696,038550120X,3
151503,038550120X,0
151819,038550120X,4
152354,038550120X,6
153418,038550120X,9
153959,038550120X,8
154906,038550120X,0
155248,038550120X,0
159033,038550120X,0
160548,038550120X,0
160819,038550120X,0
161870,038550120X,0
162639,038550120X,0
162827,038550120X,0
165788,038550120X,0
166305,038550120X,0
166391,038550120X,0
171445,038550120X,0
172881,038550120X,8
173415,038550120X,0
178006,038550120X,6
183995,038550120X,0
184295,038550120X,0
187256,038550120X,9
187621,038550120X,4
189584,038550120X,0
193778,038550120X,10
196466,038550120X,0
197206,038550120X,5
198213,038550120X,8
200422,038550120X,8
200643,038550120X,0
203506,038550120X,1
203649,038550120X,0
206177,038550120X,0
206534,038550120X,0
206754,038550120X,5
208829,038550120X,0
209160,038550120X,0
209174,038550120X,0
210485,038550120X,7
212568,038550120X,9
213379,038550120X,10
215988,038550120X,10
218615,038550120X,7
222563,038550120X,0
224249,038550120X,0
225520,038550120X,0
230522,038550120X,0
234359,038550120X,0
234565,038550120X,0
235146,038550120X,10
235842,038550120X,0
236172,038550120X,0
237064,038550120X,0
238781,038550120X,0
240643,038550120X,9
243996,038550120X,0
244955,038550120X,0
245901,038550120X,9
246411,038550120X,0
246470,038550120X,0
246513,038550120X,0
251164,038550120X,7
251422,038550120X,0
251613,038550120X,0
252222,038550120X,0
252820,038550120X,7
253780,038550120X,10
254053,038550120X,10
254488,038550120X,0
256402,038550120X,0
258334,038550120X,5
259259,038550120X,9
259629,038550120X,8
260458,038550120X,7
264085,038550120X,0
264947,038550120X,0
265202,038550120X,8
267409,038550120X,0
269835,038550120X,0
271176,038550120X,0
276746,055356451X,0
278418,055356451X,0
496,055356451X,8
5728,055356451X,0
5766,055356451X,0
7283,055356451X,0
11676,055356451X,9
12807,055356451X,8
13552,055356451X,0
14521,055356451X,0
15418,055356451X,0
15822,055356451X,0
16263,055356451X,0
16634,055356451X,0
16795,055356451X,0
17859,055356451X,10
23585,055356451X,0
23768,055356451X,0
24544,055356451X,0
25261,055356451X,0
26516,055356451X,9
30972,055356451X,8
31006,055356451X,0
31892,055356451X,10
32195,055356451X,0
35050,055356451X,0
36748,055356451X,10
41634,055356451X,0
41841,055356451X,0
47279,055356451X,0
48046,055356451X,0
52472,055356451X,0
52947,055356451X,8
53046,055356451X,0
56487,055356451X,0
56856,055356451X,0
57006,055356451X,0
57255,055356451X,0
57725,055356451X,0
60475,055356451X,0
60569,055356451X,0
66680,055356451X,0
69042,055356451X,0
69697,055356451X,0
70571,055356451X,0
71234,055356451X,0
72636,055356451X,9
72698,055356451X,0
72863,055356451X,0
73394,055356451X,0
76102,055356451X,6
76352,055356451X,0
76355,055356451X,0
78973,055356451X,7
84795,055356451X,5
85701,055356451X,0
87141,055356451X,0
87712,055356451X,6
93179,055356451X,10
93765,055356451X,0
95049,055356451X,7
104636,055356451X,0
107969,055356451X,0
111947,055356451X,0
112845,055356451X,5
113155,055356451X,0
113270,055356451X,9
114414,055356451X,0
115120,055356451X,0
115488,055356451X,0
120030,055356451X,8
120093,055356451X,0
123228,055356451X,0
123981,055356451X,0
124869,055356451X,0
124942,055356451X,0
126736,055356451X,4
127233,055356451X,0
128208,055356451X,0
134247,055356451X,0
136382,055356451X,0
137688,055356451X,8
144619,055356451X,6
147965,055356451X,0
148590,055356451X,9
148680,055356451X,5
149069,055356451X,0
150386,055356451X,8
151537,055356451X,0
152186,055356451X,8
157247,055356451X,7
158295,055356451X,7
159639,055356451X,9
159858,055356451X,0
160735,055356451X,0
160819,055356451X,0
167223,055356451X,0
167811,055356451X,9
169699,055356451X,7
172742,055356451X,0
173109,055356451X,0
173291,055356451X,0
173481,055356451X,8
175003,055356451X,0
175249,055356451X,0
175837,055356451X,9
177458,055356451X,0
178534,055356451X,0
179718,055356451X,9
182085,055356451X,0
182086,055356451X,0
183597,055356451X,0
184190,055356451X,0
185233,055356451X,0
186570,055356451X,0
186841,055356451X,7
189516,055356451X,0
190459,055356451X,6
