track id, genre, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness, mood, liked, disliked
1,classical,7,16,10,14,30,1,4,3,15,165,19,8
2,classical,5,8,20,16,35,2,1,1,5,169,26,4
3,classical,8,16,6,8,3,13,19,11,7,172,20,7
4,classical,5,6,22,19,32,1,0,1,6,158,18,4
5,classical,2,13,14,23,14,2,3,8,14,169,27,3
6,classical,5,10,10,14,26,3,11,6,6,176,19,9
7,classical,16,4,7,4,5,10,38,7,1,172,27,4
8,classical,4,13,15,14,22,2,9,7,7,164,20,8
9,classical,5,12,14,18,21,2,3,1,16,154,22,8
10,classical,13,10,1,2,1,24,30,10,1,173,22,7
11,classical,2,14,11,18,17,2,3,6,18,169,27,4
12,classical,16,3,8,8,8,4,38,4,2,187,27,2
13,classical,1,15,7,19,18,7,1,11,12,174,15,5
14,classical,6,10,15,16,19,4,7,8,6,179,17,5
15,classical,3,15,13,20,16,1,1,4,20,160,22,2
16,classical,4,12,2,2,1,31,5,28,6,166,21,2
17,classical,4,7,25,19,28,0,0,2,8,143,23,0
18,classical,19,9,3,6,6,5,41,2,0,191,27,4
19,classical,5,16,16,13,22,2,2,5,10,176,23,7
20,classical,4,19,7,14,23,2,3,9,13,166,27,3
21,classical,7,10,18,12,28,1,9,2,4,169,25,8
22,classical,9,12,20,5,18,3,17,4,3,149,21,5
23,classical,7,22,2,4,2,17,28,5,4,170,28,1
24,classical,5,11,0,0,4,21,27,20,4,186,35,6
25,classical,9,21,7,12,12,2,11,10,7,176,20,9
26,classical,12,12,1,9,1,15,29,10,3,165,22,0
27,classical,4,28,0,2,1,30,2,16,8,140,23,3
28,classical,16,4,13,3,21,0,34,2,0,192,27,0
29,classical,7,13,13,13,20,1,6,4,16,171,24,4
30,classical,22,17,1,1,5,19,26,1,0,170,23,1
31,classical,4,9,13,24,23,2,1,4,12,175,18,8
32,classical,3,10,9,16,19,1,5,2,13,163,24,3
33,classical,0,5,12,12,23,0,2,2,11,130,15,2
34,classical,6,3,3,3,7,1,16,2,1,89,7,5
35,classical,2,1,4,3,12,0,1,2,3,60,5,1
36,classical,2,2,5,6,9,2,0,3,3,58,6,1
37,classical,3,4,8,6,6,1,0,4,5,59,6,4
38,classical,1,4,5,6,9,0,1,1,6,57,7,2
39,classical,10,5,0,0,0,9,12,3,0,61,12,1
40,classical,5,5,0,1,0,8,10,6,0,58,7,2
41,classical,3,7,4,6,6,1,3,2,3,56,14,2
42,classical,3,3,4,3,11,2,0,2,2,62,7,3
43,classical,4,4,3,4,1,3,5,4,5,65,7,4
44,classical,3,6,4,3,8,2,4,1,3,64,4,1
45,classical,1,4,3,7,9,1,1,1,9,58,9,1
46,classical,3,2,8,7,9,0,1,0,2,60,9,0
47,classical,1,3,4,8,7,1,1,2,11,61,8,0
48,classical,1,8,1,6,4,1,2,6,5,62,6,1
49,classical,0,10,2,2,2,5,1,8,11,64,10,2
50,classical,5,6,3,2,0,6,12,5,1,63,8,1
51,classical,2,3,4,12,6,0,0,2,7,65,6,2
52,classical,4,6,1,1,1,4,9,7,1,66,7,3
53,classical,4,6,0,3,0,5,6,12,2,58,4,3
54,classical,3,3,3,0,8,5,15,2,2,66,11,0
55,classical,2,1,7,2,10,1,4,5,3,68,7,2
56,classical,3,3,6,5,13,1,2,0,3,61,7,1
57,classical,4,12,4,2,2,1,1,4,7,61,4,0
58,classical,1,6,2,3,2,8,3,8,4,57,8,0
59,classical,4,4,0,2,0,8,10,5,2,54,4,2
60,classical,2,5,5,9,9,0,0,2,9,60,8,1
61,classical,3,3,0,3,3,1,10,6,2,58,11,0
62,classical,3,0,2,4,0,2,13,5,0,57,9,2
63,classical,1,5,4,7,8,0,0,3,5,53,8,0
64,classical,4,1,1,1,4,2,10,4,0,56,8,3
65,classical,4,1,0,0,0,5,12,5,0,56,8,3
66,classical,2,4,0,3,1,3,4,8,1,50,5,2
67,classical,3,3,5,1,8,2,4,4,1,56,8,3
68,classical,0,4,5,8,10,1,1,2,4,63,6,1
69,classical,2,8,27,23,25,2,3,3,0,137,5,1
70,classical,4,7,1,9,8,1,0,3,5,63,6,3
71,classical,3,5,1,3,4,3,11,2,0,62,7,2
72,classical,5,6,0,3,6,4,6,6,3,59,13,1
73,classical,3,3,3,6,5,0,3,4,0,57,8,2
74,classical,5,4,1,3,4,4,6,8,2,69,9,1
75,classical,3,2,2,3,2,4,6,8,1,57,6,2
76,classical,0,7,0,3,2,2,6,8,4,54,9,3
77,classical,1,2,7,6,8,1,5,3,0,59,5,1
78,classical,2,3,2,3,1,4,11,7,0,59,6,2
79,classical,3,2,1,5,4,3,10,3,2,61,9,4
80,classical,4,6,1,4,5,2,11,1,0,56,10,2
81,classical,2,5,1,0,3,5,12,4,0,55,6,3
82,classical,1,1,8,9,13,0,0,0,3,54,10,0
83,classical,3,2,4,9,3,1,7,3,7,58,9,2
84,classical,1,9,4,7,8,1,2,2,3,61,9,1
85,classical,6,1,1,2,3,2,8,6,2,59,7,4
86,classical,3,6,1,3,5,4,3,7,3,62,8,3
87,classical,1,4,5,7,9,0,0,0,6,58,8,2
88,classical,4,1,2,3,0,4,8,8,3,63,12,3
89,classical,0,1,7,7,12,0,1,0,2,58,11,2
90,classical,4,5,0,0,2,2,6,6,0,58,5,4
91,classical,0,7,3,5,6,1,0,1,10,56,9,1
92,classical,2,7,3,6,9,0,2,1,2,59,6,3
93,classical,2,0,6,4,15,0,3,0,2,54,11,1
94,classical,5,10,0,1,6,2,5,4,3,57,11,0
95,classical,5,3,4,3,2,2,12,1,2,56,6,2
96,classical,1,3,6,5,8,1,6,1,1,58,8,1
97,classical,2,8,1,3,4,0,0,5,6,53,5,4
98,classical,1,7,4,6,10,0,0,1,6,51,10,1
99,classical,2,2,7,4,15,2,3,1,3,52,9,3
100,classical,2,8,0,2,3,9,2,5,2,54,12,0
101,rock,1,13,9,15,5,13,10,12,15,180,17,20
102,rock,6,2,18,30,18,0,10,2,4,187,16,15
103,rock,5,3,3,8,8,22,24,12,4,179,18,13
104,rock,9,10,13,21,11,2,6,7,9,166,13,13
105,rock,3,11,4,18,9,12,2,11,19,158,15,11
106,rock,4,4,13,22,18,2,3,3,22,153,15,13
107,rock,11,14,8,10,15,5,12,7,7,143,18,14
108,rock,6,13,5,16,13,12,2,14,9,126,15,10
109,rock,9,5,3,7,4,21,21,16,3,154,21,13
110,rock,3,8,1,7,5,24,6,17,18,154,16,15
111,rock,12,3,1,5,5,19,35,7,4,169,24,8
112,rock,7,10,2,16,15,13,4,15,8,182,10,20
113,rock,2,5,21,21,21,0,1,3,17,154,21,9
114,rock,3,14,2,15,9,19,5,14,10,179,18,16
115,rock,3,10,3,13,6,22,6,13,14,161,19,10
116,rock,4,9,12,18,12,12,10,8,5,177,22,15
117,rock,3,7,15,18,26,0,3,5,11,164,17,11
118,rock,3,5,22,20,20,0,1,1,8,138,18,6
119,rock,7,4,2,1,0,8,11,5,0,86,9,8
120,rock,3,4,5,9,4,5,3,3,3,92,9,5
121,rock,3,1,0,0,0,10,3,9,3,67,5,7
122,rock,3,2,11,7,5,3,1,2,1,65,7,6
123,rock,1,0,0,2,0,4,13,3,1,61,5,6
124,rock,2,1,1,4,3,1,2,3,5,60,3,7
125,rock,0,1,1,2,0,1,6,3,2,53,2,6
126,rock,1,2,0,0,0,3,9,3,0,55,4,5
127,rock,2,0,0,3,0,2,5,7,2,55,2,6
