track id, genre, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness, mood, liked, disliked
1,classical,0,1,1,1,1,0,0,0,1,165,19,8
2,classical,0,0,1,1,1,0,0,0,0,169,26,4
3,classical,0,1,0,0,0,1,1,1,0,172,20,7
4,classical,0,0,1,1,1,0,0,0,0,158,18,4
5,classical,0,1,1,1,1,0,0,0,1,169,27,3
6,classical,0,1,1,1,1,0,1,0,0,176,19,9
7,classical,1,0,0,0,0,1,1,0,0,172,27,4
8,classical,0,1,1,1,1,0,0,0,0,164,20,8
9,classical,0,1,1,1,1,0,0,0,1,154,22,8
10,classical,1,1,0,0,0,1,1,1,0,173,22,7
11,classical,0,1,1,1,1,0,0,0,1,169,27,4
12,classical,1,0,0,0,0,0,1,0,0,187,27,2
13,classical,0,1,0,1,1,0,0,1,1,174,15,5
14,classical,0,1,1,1,1,0,0,0,0,179,17,5
15,classical,0,1,1,1,1,0,0,0,1,160,22,2
16,classical,0,1,0,0,0,1,0,1,0,166,21,2
17,classical,0,0,1,1,1,0,0,0,0,143,23,0
18,classical,1,0,0,0,0,0,1,0,0,191,27,4
19,classical,0,1,1,1,1,0,0,0,1,176,23,7
20,classical,0,1,0,1,1,0,0,0,1,166,27,3
21,classical,0,1,1,1,1,0,0,0,0,169,25,8
22,classical,0,1,1,0,1,0,1,0,0,149,21,5
23,classical,0,1,0,0,0,1,1,0,0,170,28,1
24,classical,0,1,0,0,0,1,1,1,0,186,35,6
25,classical,0,1,0,1,1,0,1,1,0,176,20,9
26,classical,1,1,0,0,0,1,1,1,0,165,22,0
27,classical,0,1,0,0,0,1,0,1,0,140,23,3
28,classical,1,0,1,0,1,0,1,0,0,192,27,0
29,classical,0,1,1,1,1,0,0,0,1,171,24,4
30,classical,1,1,0,0,0,1,1,0,0,170,23,1
31,classical,0,0,1,1,1,0,0,0,1,175,18,8
32,classical,0,1,0,1,1,0,0,0,1,163,24,3
33,classical,0,0,1,1,1,0,0,0,1,130,15,2
34,classical,1,0,0,0,1,0,1,0,0,89,7,5
35,classical,0,0,0,0,1,0,0,0,0,60,5,1
36,classical,0,0,1,1,1,0,0,0,0,58,6,1
37,classical,0,0,1,1,1,0,0,0,1,59,6,4
38,classical,0,0,1,1,1,0,0,0,1,57,7,2
39,classical,1,1,0,0,0,1,1,0,0,61,12,1
40,classical,1,1,0,0,0,1,1,1,0,58,7,2
41,classical,0,1,0,1,1,0,0,0,0,56,14,2
42,classical,0,0,0,0,1,0,0,0,0,62,7,3
43,classical,0,0,0,0,0,0,1,0,1,65,7,4
44,classical,0,1,0,0,1,0,0,0,0,64,4,1
45,classical,0,0,0,1,1,0,0,0,1,58,9,1
46,classical,0,0,1,1,1,0,0,0,0,60,9,0
47,classical,0,0,0,1,1,0,0,0,1,61,8,0
48,classical,0,1,0,1,0,0,0,1,1,62,6,1
49,classical,0,1,0,0,0,1,0,1,1,64,10,2
50,classical,1,1,0,0,0,1,1,1,0,63,8,1
51,classical,0,0,0,1,1,0,0,0,1,65,6,2
52,classical,0,1,0,0,0,0,1,1,0,66,7,3
53,classical,0,1,0,0,0,1,1,1,0,58,4,3
54,classical,0,0,0,0,1,1,1,0,0,66,11,0
55,classical,0,0,1,0,1,0,0,1,0,68,7,2
56,classical,0,0,1,1,1,0,0,0,0,61,7,1
57,classical,0,1,0,0,0,0,0,0,1,61,4,0
58,classical,0,1,0,0,0,1,0,1,0,57,8,0
59,classical,0,0,0,0,0,1,1,1,0,54,4,2
60,classical,0,1,1,1,1,0,0,0,1,60,8,1
61,classical,0,0,0,0,0,0,1,1,0,58,11,0
62,classical,0,0,0,0,0,0,1,1,0,57,9,2
63,classical,0,1,0,1,1,0,0,0,1,53,8,0
64,classical,0,0,0,0,0,0,1,0,0,56,8,3
65,classical,0,0,0,0,0,1,1,1,0,56,8,3
66,classical,0,0,0,0,0,0,0,1,0,50,5,2
67,classical,0,0,1,0,1,0,0,0,0,56,8,3
68,classical,0,0,1,1,1,0,0,0,0,63,6,1
69,classical,0,0,1,1,1,0,0,0,0,137,5,1
70,classical,0,1,0,1,1,0,0,0,1,63,6,3
71,classical,0,1,0,0,0,0,1,0,0,62,7,2
72,classical,1,1,0,0,1,0,1,1,0,59,13,1
73,classical,0,0,0,1,1,0,0,0,0,57,8,2
74,classical,1,0,0,0,0,0,1,1,0,69,9,1
75,classical,0,0,0,0,0,0,1,1,0,57,6,2
76,classical,0,1,0,0,0,0,1,1,0,54,9,3
77,classical,0,0,1,1,1,0,1,0,0,59,5,1
78,classical,0,0,0,0,0,0,1,1,0,59,6,2
79,classical,0,0,0,1,0,0,1,0,0,61,9,4
80,classical,0,1,0,0,1,0,1,0,0,56,10,2
81,classical,0,1,0,0,0,1,1,0,0,55,6,3
82,classical,0,0,1,1,1,0,0,0,0,54,10,0
83,classical,0,0,0,1,0,0,1,0,1,58,9,2
84,classical,0,1,0,1,1,0,0,0,0,61,9,1
85,classical,1,0,0,0,0,0,1,1,0,59,7,4
86,classical,0,1,0,0,1,0,0,1,0,62,8,3
87,classical,0,0,1,1,1,0,0,0,1,58,8,2
88,classical,0,0,0,0,0,0,1,1,0,63,12,3
89,classical,0,0,1,1,1,0,0,0,0,58,11,2
90,classical,0,1,0,0,0,0,1,1,0,58,5,4
91,classical,0,1,0,1,1,0,0,0,1,56,9,1
92,classical,0,1,0,1,1,0,0,0,0,59,6,3
93,classical,0,0,1,0,1,0,0,0,0,54,11,1
94,classical,1,1,0,0,1,0,1,0,0,57,11,0
95,classical,1,0,0,0,0,0,1,0,0,56,6,2
96,classical,0,0,1,1,1,0,1,0,0,58,8,1
97,classical,0,1,0,0,0,0,0,1,1,53,5,4
